case_id,root_cause,confidence,osi_layer,evidence,next_command,fix_steps,verification,human_review_required,response_json
NET-011,Inter-switch link configured as access instead of trunk,0.91,Layer 2,"[""SW1 Fa0/24: switchport mode access; SW2 Fa0/24: switchport mode access""]",show interfaces trunk,"[""Correct trunk mode, native VLAN, and allowed VLAN settings."", ""Verify the VLAN is carried across the trunk.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-011"", ""confidence"": 0.91, ""evidence"": [""SW1 Fa0/24: switchport mode access; SW2 Fa0/24: switchport mode access""], ""fix_steps"": [""Correct trunk mode, native VLAN, and allowed VLAN settings."", ""Verify the VLAN is carried across the trunk.""], ""human_review_required"": true, ""next_command"": ""show interfaces trunk"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""Inter-switch link configured as access instead of trunk"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-012,Passive interface enabled on active OSPF link,0.91,Layer 3,"[""router ospf 1; network 10.0.0.0 0.255.255.255 area 0; passive-interface Serial0/1/0""]",show ip ospf neighbor,"[""Align OSPF parameters on neighbors or fix route advertisement."", ""Verify adjacency and learned routes.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-012"", ""confidence"": 0.91, ""evidence"": [""router ospf 1; network 10.0.0.0 0.255.255.255 area 0; passive-interface Serial0/1/0""], ""fix_steps"": [""Align OSPF parameters on neighbors or fix route advertisement."", ""Verify adjacency and learned routes.""], ""human_review_required"": true, ""next_command"": ""show ip ospf neighbor"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Passive interface enabled on active OSPF link"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-013,Switch port assigned to wrong access VLAN,0.84,Layer 2,"[""interface FastEthernet0/10; switchport access vlan 14""]",show vlan brief,"[""Correct the configuration causing: Switch port assigned to wrong access VLAN."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-013"", ""confidence"": 0.84, ""evidence"": [""interface FastEthernet0/10; switchport access vlan 14""], ""fix_steps"": [""Correct the configuration causing: Switch port assigned to wrong access VLAN."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show vlan brief"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""Switch port assigned to wrong access VLAN"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-014,DHCP server pool exhausted,0.91,Layer 7,"[""interface GigabitEthernet0/0; ip address 192.168.20.1 255.255.255.0 (missing ip helper-address)""]",show ip dhcp binding,"[""Correct the DHCP scope or relay configuration."", ""Clear stale leases only if necessary after review.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-014"", ""confidence"": 0.91, ""evidence"": [""interface GigabitEthernet0/0; ip address 192.168.20.1 255.255.255.0 (missing ip helper-address)""], ""fix_steps"": [""Correct the DHCP scope or relay configuration."", ""Clear stale leases only if necessary after review.""], ""human_review_required"": true, ""next_command"": ""show ip dhcp binding"", ""osi_layer"": ""Layer 7"", ""root_cause"": ""DHCP server pool exhausted"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-015,Invalid static route next-hop IP address,0.91,Layer 3,"[""ip route 172.16.0.0 255.255.0.0 10.0.0.5 (Next-hop IP 10.0.0.5 unreachable)""]",show ip route,"[""Correct the configuration causing: Invalid static route next-hop IP address."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-015"", ""confidence"": 0.91, ""evidence"": [""ip route 172.16.0.0 255.255.0.0 10.0.0.5 (Next-hop IP 10.0.0.5 unreachable)""], ""fix_steps"": [""Correct the configuration causing: Invalid static route next-hop IP address."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show ip route"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Invalid static route next-hop IP address"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-016,ACL missing FTP control port 21 permit rule,0.84,Layer 4,"[""access-list 100 permit tcp 192.168.1.0 0.0.0.255 host 10.0.0.25 eq 20 (missing port 21)""]",show access-lists,"[""Update the ACL to permit required traffic and deny only the intended flows."", ""Apply the ACL in the correct interface direction.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-016"", ""confidence"": 0.84, ""evidence"": [""access-list 100 permit tcp 192.168.1.0 0.0.0.255 host 10.0.0.25 eq 20 (missing port 21)""], ""fix_steps"": [""Update the ACL to permit required traffic and deny only the intended flows."", ""Apply the ACL in the correct interface direction.""], ""human_review_required"": true, ""next_command"": ""show access-lists"", ""osi_layer"": ""Layer 4"", ""root_cause"": ""ACL missing FTP control port 21 permit rule"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-017,NAT interface direction missing on internal interface,0.91,Layer 3,"[""ip nat inside source static 192.168.1.100 203.0.113.10; interface Gi0/0 missing ip nat inside""]",show ip nat translations,"[""Correct NAT statements and inside/outside interface roles."", ""Retest translation from an inside client.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-017"", ""confidence"": 0.91, ""evidence"": [""ip nat inside source static 192.168.1.100 203.0.113.10; interface Gi0/0 missing ip nat inside""], ""fix_steps"": [""Correct NAT statements and inside/outside interface roles."", ""Retest translation from an inside client.""], ""human_review_required"": true, ""next_command"": ""show ip nat translations"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""NAT interface direction missing on internal interface"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-018,Wireless signal interference causing authentication failures,0.91,Layer 7,"[""radius-server host 10.0.0.50 key incorrect_secret_key""]",show wlan summary,"[""Correct wireless authentication settings."", ""Retest client association and authentication.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-018"", ""confidence"": 0.91, ""evidence"": [""radius-server host 10.0.0.50 key incorrect_secret_key""], ""fix_steps"": [""Correct wireless authentication settings."", ""Retest client association and authentication.""], ""human_review_required"": true, ""next_command"": ""show wlan summary"", ""osi_layer"": ""Layer 7"", ""root_cause"": ""Wireless signal interference causing authentication failures"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-019,Native VLAN Mismatch on trunk link,0.76,Layer 2,"[""SW1: switchport trunk native vlan 10; SW2: switchport trunk native vlan 99""]",show interfaces trunk,"[""Correct trunk mode, native VLAN, and allowed VLAN settings."", ""Verify the VLAN is carried across the trunk.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-019"", ""confidence"": 0.76, ""evidence"": [""SW1: switchport trunk native vlan 10; SW2: switchport trunk native vlan 99""], ""fix_steps"": [""Correct trunk mode, native VLAN, and allowed VLAN settings."", ""Verify the VLAN is carried across the trunk.""], ""human_review_required"": true, ""next_command"": ""show interfaces trunk"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""Native VLAN Mismatch on trunk link"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-020,Default Gateway outside client subnet range,0.91,Layer 3,"[""IP 10.1.1.50 mask 255.255.255.240; Gateway 10.1.1.30 (Outside subnet boundary)""]",ipconfig /all,"[""Correct the configuration causing: Default Gateway outside client subnet range."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-020"", ""confidence"": 0.91, ""evidence"": [""IP 10.1.1.50 mask 255.255.255.240; Gateway 10.1.1.30 (Outside subnet boundary)""], ""fix_steps"": [""Correct the configuration causing: Default Gateway outside client subnet range."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""ipconfig /all"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Default Gateway outside client subnet range"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-021,EIGRP neighbor down,0.84,Layer 3,"[""router ospf 1; redistribute eigrp 100 (missing subnets keyword)""]",show ip ospf neighbor,"[""Align OSPF parameters on neighbors or fix route advertisement."", ""Verify adjacency and learned routes.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-021"", ""confidence"": 0.84, ""evidence"": [""router ospf 1; redistribute eigrp 100 (missing subnets keyword)""], ""fix_steps"": [""Align OSPF parameters on neighbors or fix route advertisement."", ""Verify adjacency and learned routes.""], ""human_review_required"": true, ""next_command"": ""show ip ospf neighbor"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""EIGRP neighbor down"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-022,ACL blocking SSL/TLS port 443,0.84,Layer 4,"[""access-list OUTBOUND permit tcp any any eq 80 (missing port 443)""]",show access-lists,"[""Update the ACL to permit required traffic and deny only the intended flows."", ""Apply the ACL in the correct interface direction.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-022"", ""confidence"": 0.84, ""evidence"": [""access-list OUTBOUND permit tcp any any eq 80 (missing port 443)""], ""fix_steps"": [""Update the ACL to permit required traffic and deny only the intended flows."", ""Apply the ACL in the correct interface direction.""], ""human_review_required"": true, ""next_command"": ""show access-lists"", ""osi_layer"": ""Layer 4"", ""root_cause"": ""ACL blocking SSL/TLS port 443"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-023,Duplicate IP Address Assignment,0.91,Layer 3,"[""Log: %IP-4-DUP_ADDR: Duplicate address 192.168.1.100 on FastEthernet0/1""]",ipconfig /all,"[""Correct the configuration causing: Duplicate IP Address Assignment."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-023"", ""confidence"": 0.91, ""evidence"": [""Log: %IP-4-DUP_ADDR: Duplicate address 192.168.1.100 on FastEthernet0/1""], ""fix_steps"": [""Correct the configuration causing: Duplicate IP Address Assignment."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""ipconfig /all"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""Duplicate IP Address Assignment"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-024,Trunk encapsulation mismatch,0.84,Layer 2,"[""SW1: vtp domain CORP; SW2: vtp domain corp (case sensitive mismatch)""]",show vtp status,"[""Correct the configuration causing: Trunk encapsulation mismatch."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-024"", ""confidence"": 0.84, ""evidence"": [""SW1: vtp domain CORP; SW2: vtp domain corp (case sensitive mismatch)""], ""fix_steps"": [""Correct the configuration causing: Trunk encapsulation mismatch."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show vtp status"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""Trunk encapsulation mismatch"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-025,Uplink trunk port not configured as DAI trusted,0.91,Layer 2,"[""interface GigabitEthernet0/1; ip arp inspection trust missing on uplink""]",show ip arp inspection,"[""Correct the configuration causing: Uplink trunk port not configured as DAI trusted."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-025"", ""confidence"": 0.91, ""evidence"": [""interface GigabitEthernet0/1; ip arp inspection trust missing on uplink""], ""fix_steps"": [""Correct the configuration causing: Uplink trunk port not configured as DAI trusted."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show ip arp inspection"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""Uplink trunk port not configured as DAI trusted"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-026,Port security violation limit exceeded,0.84,Layer 2,"[""Log: %PORT_SECURITY-2-PSECURE_VIOLATION: Security violation occurred on port Fa0/10""]",show port-security interface,"[""Correct the configuration causing: Port security violation limit exceeded."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-026"", ""confidence"": 0.84, ""evidence"": [""Log: %PORT_SECURITY-2-PSECURE_VIOLATION: Security violation occurred on port Fa0/10""], ""fix_steps"": [""Correct the configuration causing: Port security violation limit exceeded."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show port-security interface"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""Port security violation limit exceeded"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-027,HSRP Timer Mismatch between peers,0.84,Layer 3,"[""R1: standby 1 priority 110 hello 3; R2: standby 1 priority 100 hello 10""]",show standby brief,"[""Correct the configuration causing: HSRP Timer Mismatch between peers."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-027"", ""confidence"": 0.84, ""evidence"": [""R1: standby 1 priority 110 hello 3; R2: standby 1 priority 100 hello 10""], ""fix_steps"": [""Correct the configuration causing: HSRP Timer Mismatch between peers."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show standby brief"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""HSRP Timer Mismatch between peers"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-028,Missing 802.1Q encapsulation on sub-interface,0.91,Layer 2/3,"[""interface GigabitEthernet0/0.20; ip address 192.168.20.1 255.255.255.0 (missing encapsulation dot1Q 20)""]",show ip interface brief,"[""Enable and correctly configure the router sub-interface or SVI."", ""Verify VLAN tagging and the gateway address.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-028"", ""confidence"": 0.91, ""evidence"": [""interface GigabitEthernet0/0.20; ip address 192.168.20.1 255.255.255.0 (missing encapsulation dot1Q 20)""], ""fix_steps"": [""Enable and correctly configure the router sub-interface or SVI."", ""Verify VLAN tagging and the gateway address.""], ""human_review_required"": true, ""next_command"": ""show ip interface brief"", ""osi_layer"": ""Layer 2/3"", ""root_cause"": ""Missing 802.1Q encapsulation on sub-interface"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-029,IPv6 Router Advertisements (RA) suppressed,0.84,Layer 3,"[""interface GigabitEthernet0/0; ipv6 nd suppress-ra enabled""]",show ipv6 interface,"[""Correct the configuration causing: IPv6 Router Advertisements (RA) suppressed."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-029"", ""confidence"": 0.84, ""evidence"": [""interface GigabitEthernet0/0; ipv6 nd suppress-ra enabled""], ""fix_steps"": [""Correct the configuration causing: IPv6 Router Advertisements (RA) suppressed."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show ipv6 interface"", ""osi_layer"": ""Layer 3"", ""root_cause"": ""IPv6 Router Advertisements (RA) suppressed"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
NET-030,CDP disabled globally on device,0.76,Layer 2,"[""no cdp run globally active in running configuration""]",show cdp neighbors,"[""Correct the configuration causing: CDP disabled globally on device."", ""Verify connectivity after the change.""]","[""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]",True,"{""case_id"": ""NET-030"", ""confidence"": 0.76, ""evidence"": [""no cdp run globally active in running configuration""], ""fix_steps"": [""Correct the configuration causing: CDP disabled globally on device."", ""Verify connectivity after the change.""], ""human_review_required"": true, ""next_command"": ""show cdp neighbors"", ""osi_layer"": ""Layer 2"", ""root_cause"": ""CDP disabled globally on device"", ""verification"": [""Repeat the failing test from the symptom."", ""Run the listed show command again and confirm the evidence is gone.""]}"
